customer_id,signup_date,age_group,gender,city,customer_type,loyalty_tier
C0001,2020-06-11,18-25,Male,Liverpool,New,Silver
C0002,2022-04-11,56-65,Male,Newcastle,New,Gold
C0003,2020-09-27,26-35,Male,Cardiff,Returning,Bronze
C0004,2023-06-19,56-65,Female,Leicester,New,Bronze
C0005,2022-04-08,26-35,Male,Leicester,New,Silver
C0006,2020-11-30,18-25,Female,Glasgow,Returning,Silver
C0007,2020-04-28,26-35,Female,Southampton,New,Silver
C0008,2023-03-23,36-45,Female,Belfast,New,Silver
C0009,2022-10-29,26-35,Male,Southampton,Returning,Bronze
C0010,2022-11-24,36-45,Female,Sheffield,Returning,Bronze
C0011,2020-06-10,36-45,Male,London,Returning,Silver
C0012,2021-05-11,46-55,Male,Bristol,Returning,Bronze
C0013,2021-02-23,26-35,Male,Manchester,Returning,Bronze
C0014,2022-11-13,46-55,Male,Sheffield,New,Silver
C0015,2022-11-03,18-25,Male,Leeds,New,Silver
C0016,2022-01-31,46-55,Male,Glasgow,Returning,Gold
C0017,2021-05-23,36-45,Male,Bristol,Returning,Bronze
C0018,2020-01-06,36-45,Male,Bristol,New,Bronze
C0019,2023-09-17,26-35,Male,Cardiff,Returning,Gold
C0020,2020-09-29,36-45,Male,Sheffield,New,Bronze
C0021,2023-03-19,18-25,Male,London,Returning,Bronze
C0022,2020-08-05,36-45,Female,London,Returning,Bronze
C0023,2020-01-21,36-45,Female,Cardiff,New,Bronze
C0024,2022-09-07,36-45,Male,Liverpool,New,Gold
C0025,2023-10-24,18-25,Female,Edinburgh,New,Gold
C0026,2020-11-13,18-25,Female,Newcastle,New,Gold
C0027,2020-05-16,46-55,Male,Nottingham,New,Bronze
C0028,2020-10-15,65+,Female,Belfast,New,Silver
C0029,2021-03-17,26-35,Female,Bristol,Returning,Bronze
C0030,2021-01-27,56-65,Female,Edinburgh,Returning,Bronze
C0031,2020-03-06,46-55,Male,Newcastle,New,Silver
C0032,2022-06-25,36-45,Male,Manchester,New,Bronze
C0033,2023-08-30,56-65,Male,Glasgow,Returning,Bronze
C0034,2024-01-21,56-65,Male,London,Returning,Bronze
C0035,2022-04-04,26-35,Male,Leicester,Returning,Bronze
C0036,2023-12-29,36-45,Male,Cardiff,New,Silver
C0037,2020-04-24,18-25,Female,Leicester,New,Silver
C0038,2022-08-05,36-45,Female,Southampton,New,Silver
C0039,2022-12-03,46-55,Female,Cardiff,New,Bronze
C0040,2024-06-08,36-45,Male,Belfast,New,Silver
C0041,2024-02-09,36-45,Non-binary,Cardiff,Returning,Bronze
C0042,2021-10-04,18-25,Female,Cardiff,Returning,Gold
C0043,2024-06-25,26-35,Male,Bristol,New,Silver
C0044,2022-09-06,46-55,Male,Southampton,New,Bronze
C0045,2020-02-08,36-45,Female,Birmingham,Returning,Bronze
C0046,2023-05-22,18-25,Male,Leicester,New,Silver
C0047,2024-05-12,26-35,Female,London,New,Bronze
C0048,2023-09-11,36-45,Female,Edinburgh,New,Silver
C0049,2024-02-19,26-35,Male,Sheffield,New,Gold
C0050,2024-06-05,36-45,Female,Leicester,New,Gold
