product_id,product_name,product_category,cost_price,list_price,supplier,launch_date
P0001,Purpose Networkin,Networking,73.76,89.25,TechCorp,2019-12-12
P0002,Ago Smartphone,Smartphones,749.65,1027.53,Nova Electronics,2021-05-04
P0003,Election Monitor,Monitors,610.97,679.83,TechCorp,2020-11-24
P0004,Chair Laptop,Laptops,271.03,363.4,Nova Electronics,2019-11-15
P0005,Require Monitor,Monitors,730.22,1008.09,Nova Electronics,2023-08-22
P0006,Begin Accessorie,Accessories,476.75,577.48,Nova Electronics,2024-01-09
P0007,Knowledge Laptop,Laptops,713.23,881.62,Nova Electronics,2019-04-09
P0008,All Smartphone,Smartphones,959.35,1184.45,Nova Electronics,2019-10-19
P0009,Discover Laptop,Laptops,141.88,204.17,Quantum Supplies,2020-12-23
P0010,Mouth Monitor,Monitors,816.77,1136.86,Digitex,2024-02-14
P0011,Agreement Monitor,Monitors,974.46,1219.45,TechCorp,2023-10-10
P0012,Decide Monitor,Monitors,837.93,1129.03,Digitex,2023-08-21
P0013,Kind Tablet,Tablets,232.67,262.41,ByteWare,2020-11-15
P0014,List Networkin,Networking,784.41,1171.98,Nova Electronics,2024-01-05
P0015,Fall Smartphone,Smartphones,411.12,526.79,TechCorp,2019-01-21
P0016,Song Tablet,Tablets,401.67,475.5,Nova Electronics,2020-05-11
P0017,Save Tablet,Tablets,939.82,1277.42,FutureTek,2022-08-06
P0018,Grow Monitor,Monitors,212.58,295.84,FutureTek,2021-05-13
P0019,Clearly Smartphone,Smartphones,410.48,614.0,Quantum Supplies,2020-10-30
P0020,Source Networkin,Networking,579.1,795.59,FutureTek,2021-11-11
P0021,Blue Laptop,Laptops,830.71,1181.28,Nova Electronics,2019-10-16
P0022,Husband Accessorie,Accessories,112.88,165.4,Digitex,2019-10-28
P0023,Her Monitor,Monitors,348.94,475.32,FutureTek,2021-12-04
P0024,Pm Accessorie,Accessories,485.91,585.98,FutureTek,2021-04-01
P0025,Surface Smartphone,Smartphones,583.3,702.93,FutureTek,2019-05-15
P0026,Show Monitor,Monitors,902.93,1137.48,Quantum Supplies,2022-11-28
P0027,Not Smartphone,Smartphones,534.05,606.88,Nova Electronics,2020-01-23
P0028,Win Laptop,Laptops,195.2,227.21,TechCorp,2022-03-22
P0029,Bar Networkin,Networking,616.59,773.15,Quantum Supplies,2023-09-12
P0030,Finally Monitor,Monitors,552.66,822.6,Quantum Supplies,2024-05-07
P0031,Present Laptop,Laptops,734.69,1008.5,FutureTek,2022-01-28
P0032,Participant Monitor,Monitors,780.17,964.34,Digitex,2020-08-20
P0033,Sea Tablet,Tablets,200.25,220.53,Quantum Supplies,2019-08-05
P0034,Answer Networkin,Networking,300.22,390.36,FutureTek,2020-12-09
P0035,Spring Smartphone,Smartphones,917.0,1328.01,ByteWare,2021-06-18
P0036,Base Tablet,Tablets,532.28,627.86,FutureTek,2020-12-24
P0037,Trial Tablet,Tablets,562.41,793.81,Nova Electronics,2019-11-10
P0038,Husband Monitor,Monitors,619.0,801.88,TechCorp,2021-05-13
P0039,Long Laptop,Laptops,884.79,1267.61,Digitex,2024-05-29
P0040,They Tablet,Tablets,105.03,152.42,Nova Electronics,2022-02-07
P0041,Commercial Laptop,Laptops,745.31,1063.12,TechCorp,2022-02-24
P0042,Hear Monitor,Monitors,171.97,221.86,Nova Electronics,2020-10-12
P0043,Religious Monitor,Monitors,301.8,437.3,Nova Electronics,2021-04-09
P0044,Science Accessorie,Accessories,932.47,1307.42,Nova Electronics,2019-08-10
P0045,Politics Networkin,Networking,727.3,916.1,Nova Electronics,2024-05-26
P0046,Congress Networkin,Networking,404.75,590.87,FutureTek,2023-07-18
P0047,Shoulder Accessorie,Accessories,285.51,321.37,TechCorp,2021-01-30
P0048,Common Laptop,Laptops,576.23,769.48,ByteWare,2022-12-07
P0049,Hundred Laptop,Laptops,722.45,811.71,TechCorp,2021-04-18
P0050,Wish Laptop,Laptops,866.65,977.88,TechCorp,2024-06-11
P0051,Rise Smartphone,Smartphones,685.53,812.83,Digitex,2023-09-27
P0052,Discuss Smartphone,Smartphones,938.74,1247.04,FutureTek,2021-10-04
P0053,Threat Accessorie,Accessories,795.39,1131.84,Nova Electronics,2019-06-23
P0054,Drop Smartphone,Smartphones,142.08,180.79,TechCorp,2019-04-10
P0055,Support Accessorie,Accessories,493.67,687.01,Quantum Supplies,2021-09-07
P0056,Institution Networkin,Networking,984.96,1122.23,FutureTek,2021-04-11
P0057,Attorney Accessorie,Accessories,372.34,537.91,FutureTek,2020-10-17
P0058,White Smartphone,Smartphones,230.7,295.17,Nova Electronics,2023-10-29
P0059,Under Accessorie,Accessories,314.62,377.52,Nova Electronics,2021-09-04
P0060,Difference Laptop,Laptops,817.62,1179.32,Quantum Supplies,2023-04-01
