order_date,customer_id,product_id,product_category,revenue,quantity,region,customer_acquisition_channel
2023-12-05,C0291,P0084,Monitors,3086.76,2,West Midlands,Referral
2023-08-08,C2209,P0080,Tablets,1033.86,2,South West,Organic
2024-04-29,C1668,P0049,Tablets,644.56,2,South East,Organic
2024-03-17,C1452,P0099,Networking,659.2,4,North East,Paid
2023-02-25,C2759,P0095,Smartphones,174.85,1,London,Paid
2023-12-14,C0448,P0059,Accessories,1588.32,2,Scotland,Organic
2024-04-04,C0575,P0079,Tablets,7054.04,4,North West,Organic
2023-09-13,C0309,P0081,Smartphones,7048.48,4,South East,Organic
2023-01-16,C0383,P0093,Accessories,3608.5,2,North West,Paid
2024-05-07,C0876,P0018,Accessories,954.4,4,London,Organic
2023-01-03,C1600,P0020,Laptops,4418.94,3,South West,Organic
2024-05-13,C0635,P0010,Networking,2835.16,2,West Midlands,Organic
2023-03-01,C2373,P0025,Tablets,1175.84,1,Wales,Organic
2024-05-03,C2060,P0013,Laptops,3059.34,2,London,Email
2023-03-24,C0762,P0080,Tablets,516.93,1,South East,Referral
2023-08-29,C1654,P0031,Networking,1676.52,1,Scotland,Referral
2023-02-10,C2537,P0061,Monitors,1728.52,1,North East,Referral
2024-06-19,C1296,P0028,Tablets,5913.54,3,Scotland,Referral
2023-11-18,C0978,P0011,Accessories,1439.58,3,North East,Organic
2023-11-04,C1873,P0025,Tablets,3527.52,3,South East,Organic
2023-04-13,C0301,P0040,Smartphones,2770.0,2,West Midlands,Organic
2023-12-24,C0282,P0014,Smartphones,2822.74,2,Wales,Organic
2024-03-24,C2226,P0090,Networking,1326.72,3,London,Referral
2023-11-03,C2718,P0053,Accessories,755.89,1,North West,Organic
2023-04-20,C2267,P0025,Tablets,2351.68,2,West Midlands,Organic
2023-08-04,C2940,P0078,Laptops,804.42,3,Scotland,Referral
2023-09-28,C2071,P0028,Tablets,7884.72,4,West Midlands,Email
2023-02-22,C0379,P0012,Monitors,2369.88,4,West Midlands,Organic
2023-12-08,C0536,P0090,Networking,1326.72,3,North West,Social
2024-03-13,C2298,P0017,Tablets,249.31,1,South East,Organic
2023-06-02,C2235,P0010,Networking,1417.58,1,Wales,Referral
